comparison, factor, answer, count
plain_vs_stock,overall,plain-much_better,17
plain_vs_stock,overall,plain-better,21
plain_vs_stock,overall,same,9
plain_vs_stock,overall,stock-better,5
plain_vs_stock,overall,stock-much_better,2
plain_vs_stock,content,plain-much_better,16
plain_vs_stock,content,plain-better,21
plain_vs_stock,content,same,11
plain_vs_stock,content,stock-better,4
plain_vs_stock,content,stock-much_better,2
plain_vs_stock,punctuation,plain-much_better,18
plain_vs_stock,punctuation,plain-better,21
plain_vs_stock,punctuation,same,12
plain_vs_stock,punctuation,stock-better,2
plain_vs_stock,punctuation,stock-much_better,1
plain_vs_stock,readability,plain-much_better,20
plain_vs_stock,readability,plain-better,14
plain_vs_stock,readability,same,13
plain_vs_stock,readability,stock-better,4
plain_vs_stock,readability,stock-much_better,3
plain_vs_stock,organization,plain-much_better,12
plain_vs_stock,organization,plain-better,19
plain_vs_stock,organization,same,19
plain_vs_stock,organization,stock-better,3
plain_vs_stock,organization,stock-much_better,1
layout_vs_stock,overall,layout-much_better,31
layout_vs_stock,overall,layout-better,18
layout_vs_stock,overall,same,1
layout_vs_stock,overall,stock-better,2
layout_vs_stock,overall,stock-much_better,2
layout_vs_stock,content,layout-much_better,27
layout_vs_stock,content,layout-better,18
layout_vs_stock,content,same,5
layout_vs_stock,content,stock-better,1
layout_vs_stock,content,stock-much_better,3
layout_vs_stock,punctuation,layout-much_better,23
layout_vs_stock,punctuation,layout-better,23
layout_vs_stock,punctuation,same,5
layout_vs_stock,punctuation,stock-better,2
layout_vs_stock,punctuation,stock-much_better,1
layout_vs_stock,readability,layout-much_better,35
layout_vs_stock,readability,layout-better,10
layout_vs_stock,readability,same,7
layout_vs_stock,readability,stock-better,2
layout_vs_stock,readability,stock-much_better,0
layout_vs_stock,organization,layout-much_better,34
layout_vs_stock,organization,layout-better,13
layout_vs_stock,organization,same,5
layout_vs_stock,organization,stock-better,1
layout_vs_stock,organization,stock-much_better,1
layout_vs_formatted,overall,layout-much_better,3
layout_vs_formatted,overall,layout-better,8
layout_vs_formatted,overall,same,14
layout_vs_formatted,overall,formatted-better,15
layout_vs_formatted,overall,formatted-much_better,14
