bigram, turkers
0.0, 3.667
0.0, 4.111
0.0, 2.0
1.0, 3.0
1.667, 1.667
1.818, 2.111
1.818, 4.111
2.0, 4.0
2.286, 4.222
2.5, 4.444
1.381, 3.778
1.5, 2.778
1.688, 2.778
2.8, 3.333
3.143, 3.111
3.143, 4.444
3.25, 4.333
3.429, 3.556
4.0, 4.333
4.25, 4.778
0.5, 4.0
1.3, 3.778
1.882, 3.444
2.083, 3.778
2.154, 3.889
2.6, 3.556
3.0, 4.0
3.3, 2.667
4.571, 4.0
4.833, 4.556
0.6, 3.222
0.789, 3.778
0.8, 3.778
1.1, 2.667
1.313, 3.444
1.909, 4.333
2.111, 2.556
2.714, 1.667
3.167, 3.333
3.4, 4.333
1.75, 1.556
1.889, 4.0
2.625, 2.0
3.125, 3.667
3.571, 3.778
3.875, 2.667
4.429, 3.778
0.6, 3.778
1.0, 2.667
1.125, 4.444
1.6, 4.222
2.2, 4.111
2.75, 4.333
3.0, 4.0
0.778, 3.222
1.75, 3.444
1.8, 1.556
2.2, 4.222
2.5, 1.333
2.571, 2.0
3.0, 1.889
3.0, 2.0
3.75, 2.444
5.0, 4.556
0.0, 4.0
0.857, 3.444
1.0, 2.111
1.333, 2.0
1.385, 2.667
1.4, 2.889
1.4, 2.889
2.111, 1.889
2.333, 4.556
2.6, 4.333
0.0, 4.333
0.0, 1.444
0.095, 1.778
0.222, 3.444
0.222, 2.889
0.267, 2.556
0.5, 3.667
0.571, 2.0
0.667, 3.556
1.0, 4.0
0.0, 1.778
0.133, 1.667
0.7, 1.556
0.929, 3.222
1.286, 3.667
1.308, 2.444
1.333, 3.556
1.571, 3.0
2.2, 3.222
3.6, 4.111
1.15, 2.556
1.75, 4.0
2.0, 3.889
2.091, 1.889
2.25, 2.778
2.375, 2.333
3.286, 3.111
4.6, 4.444
4.6, 4.444
5.25, 4.0
0.5, 3.333
1.143, 1.667
1.294, 4.111
1.3, 1.556
1.8, 3.222
2.2, 2.222
2.75, 3.667
2.75, 2.444
3.0, 3.333
3.0, 4.333
0.0, 2.556
0.0, 3.222
0.0, 3.0
1.231, 3.667
1.467, 1.667
3.143, 3.667
3.333, 2.333
4.0, 2.556
5.333, 3.778
5.333, 3.556
0.0, 3.111
0.0, 3.111
0.0, 2.0
0.167, 2.111
0.4, 2.444
0.5, 3.556
0.6, 2.333
0.75, 3.556
0.833, 3.222
2.0, 3.778
0.0, 3.556
0.0, 3.778
0.0, 3.556
1.5, 2.667
1.571, 2.333
1.8, 4.0
1.833, 3.778
2.0, 3.222
2.0, 4.111
0.0, 3.0
0.657, 2.778
0.889, 3.556
1.143, 2.0
1.5, 3.889
1.6, 4.0
2.0, 4.0
2.571, 2.111
4.0, 2.333
4.25, 4.0
0.0, 3.889
0.0, 3.222
0.286, 2.0
0.471, 3.0
0.5, 4.111
0.571, 3.778
0.8, 3.889
0.889, 2.0
1.143, 2.778
2.4, 3.889
0.0, 2.667
0.111, 3.0
0.333, 3.333
0.4, 2.222
0.467, 3.111
0.556, 2.0
0.833, 1.778
1.0, 3.222
1.25, 4.0
1.4, 3.556
